ts_code,symbol,name,area,industry
MMM,MMM,3M,US,Industrials
AOS,AOS,A. O. Smith,US,Industrials
ABT,ABT,Abbott Laboratories,US,Health Care
ABBV,ABBV,AbbVie,US,Health Care
ACN,ACN,Accenture,US,Information Technology
ADBE,ADBE,Adobe Inc.,US,Information Technology
AMD,AMD,Advanced Micro Devices,US,Information Technology
AES,AES,AES Corporation,US,Utilities
AFL,AFL,Aflac,US,Financials
A,A,Agilent Technologies,US,Health Care
APD,APD,Air Products,US,Materials
ABNB,ABNB,Airbnb,US,Consumer Discretionary
AKAM,AKAM,Akamai Technologies,US,Information Technology
ALB,ALB,Albemarle Corporation,US,Materials
ARE,ARE,Alexandria Real Estate Equities,US,Real Estate
ALGN,ALGN,Align Technology,US,Health Care
ALLE,ALLE,Allegion,US,Industrials
LNT,LNT,Alliant Energy,US,Utilities
ALL,ALL,Allstate,US,Financials
GOOGL,GOOGL,Alphabet Inc. (Class A),US,Communication Services
GOOG,GOOG,Alphabet Inc. (Class C),US,Communication Services
MO,MO,Altria,US,Consumer Staples
AMZN,AMZN,Amazon,US,Consumer Discretionary
AMCR,AMCR,Amcor,US,Materials
AEE,AEE,Ameren,US,Utilities
AEP,AEP,American Electric Power,US,Utilities
AXP,AXP,American Express,US,Financials
AIG,AIG,American International Group,US,Financials
AMT,AMT,American Tower,US,Real Estate
AWK,AWK,American Water Works,US,Utilities
AMP,AMP,Ameriprise Financial,US,Financials
AME,AME,Ametek,US,Industrials
AMGN,AMGN,Amgen,US,Health Care
APH,APH,Amphenol,US,Information Technology
ADI,ADI,Analog Devices,US,Information Technology
AON,AON,Aon plc,US,Financials
APA,APA,APA Corporation,US,Energy
APO,APO,Apollo Global Management,US,Financials
AAPL,AAPL,Apple Inc.,US,Information Technology
AMAT,AMAT,Applied Materials,US,Information Technology
APP,APP,AppLovin,US,Information Technology
APTV,APTV,Aptiv,US,Consumer Discretionary
ACGL,ACGL,Arch Capital Group,US,Financials
ADM,ADM,Archer Daniels Midland,US,Consumer Staples
ARES,ARES,Ares Management,US,Financials
ANET,ANET,Arista Networks,US,Information Technology
AJG,AJG,Arthur J. Gallagher & Co.,US,Financials
AIZ,AIZ,Assurant,US,Financials
T,T,AT&T,US,Communication Services
ATO,ATO,Atmos Energy,US,Utilities
ADSK,ADSK,Autodesk,US,Information Technology
ADP,ADP,Automatic Data Processing,US,Industrials
AZO,AZO,AutoZone,US,Consumer Discretionary
AVB,AVB,AvalonBay Communities,US,Real Estate
AVY,AVY,Avery Dennison,US,Materials
AXON,AXON,Axon Enterprise,US,Industrials
BKR,BKR,Baker Hughes,US,Energy
BALL,BALL,Ball Corporation,US,Materials
BAC,BAC,Bank of America,US,Financials
BAX,BAX,Baxter International,US,Health Care
BDX,BDX,Becton Dickinson,US,Health Care
BRK.B,BRK.B,Berkshire Hathaway,US,Financials
BBY,BBY,Best Buy,US,Consumer Discretionary
TECH,TECH,Bio-Techne,US,Health Care
BIIB,BIIB,Biogen,US,Health Care
BLK,BLK,BlackRock,US,Financials
BX,BX,Blackstone Inc.,US,Financials
XYZ,XYZ,"Block, Inc.",US,Financials
BK,BK,BNY Mellon,US,Financials
BA,BA,Boeing,US,Industrials
BKNG,BKNG,Booking Holdings,US,Consumer Discretionary
BSX,BSX,Boston Scientific,US,Health Care
BMY,BMY,Bristol Myers Squibb,US,Health Care
AVGO,AVGO,Broadcom,US,Information Technology
BR,BR,Broadridge Financial Solutions,US,Industrials
BRO,BRO,Brown & Brown,US,Financials
BF.B,BF.B,Brown–Forman,US,Consumer Staples
BLDR,BLDR,Builders FirstSource,US,Industrials
BG,BG,Bunge Global,US,Consumer Staples
BXP,BXP,"BXP, Inc.",US,Real Estate
CHRW,CHRW,C.H. Robinson,US,Industrials
CDNS,CDNS,Cadence Design Systems,US,Information Technology
CPT,CPT,Camden Property Trust,US,Real Estate
CPB,CPB,Campbell's Company (The),US,Consumer Staples
COF,COF,Capital One,US,Financials
CAH,CAH,Cardinal Health,US,Health Care
CCL,CCL,Carnival,US,Consumer Discretionary
CARR,CARR,Carrier Global,US,Industrials
CVNA,CVNA,Carvana,US,Consumer Discretionary
CASY,CASY,Casey's,US,Consumer Staples
CAT,CAT,Caterpillar Inc.,US,Industrials
CBOE,CBOE,Cboe Global Markets,US,Financials
CBRE,CBRE,CBRE Group,US,Real Estate
CDW,CDW,CDW Corporation,US,Information Technology
COR,COR,Cencora,US,Health Care
CNC,CNC,Centene Corporation,US,Health Care
CNP,CNP,CenterPoint Energy,US,Utilities
CF,CF,CF Industries,US,Materials
CRL,CRL,Charles River Laboratories,US,Health Care
SCHW,SCHW,Charles Schwab Corporation,US,Financials
CHTR,CHTR,Charter Communications,US,Communication Services
CVX,CVX,Chevron Corporation,US,Energy
CMG,CMG,Chipotle Mexican Grill,US,Consumer Discretionary
CB,CB,Chubb Limited,US,Financials
CHD,CHD,Church & Dwight,US,Consumer Staples
CIEN,CIEN,Ciena,US,Information Technology
CI,CI,Cigna,US,Health Care
CINF,CINF,Cincinnati Financial,US,Financials
CTAS,CTAS,Cintas,US,Industrials
CSCO,CSCO,Cisco,US,Information Technology
C,C,Citigroup,US,Financials
CFG,CFG,Citizens Financial Group,US,Financials
CLX,CLX,Clorox,US,Consumer Staples
CME,CME,CME Group,US,Financials
CMS,CMS,CMS Energy,US,Utilities
KO,KO,Coca-Cola Company (The),US,Consumer Staples
CTSH,CTSH,Cognizant,US,Information Technology
COHR,COHR,Coherent Corp.,US,Information Technology
COIN,COIN,Coinbase,US,Financials
CL,CL,Colgate-Palmolive,US,Consumer Staples
CMCSA,CMCSA,Comcast,US,Communication Services
FIX,FIX,Comfort Systems USA,US,Industrials
CAG,CAG,Conagra Brands,US,Consumer Staples
COP,COP,ConocoPhillips,US,Energy
ED,ED,Consolidated Edison,US,Utilities
STZ,STZ,Constellation Brands,US,Consumer Staples
CEG,CEG,Constellation Energy,US,Utilities
COO,COO,Cooper Companies (The),US,Health Care
CPRT,CPRT,Copart,US,Industrials
GLW,GLW,Corning Inc.,US,Information Technology
CPAY,CPAY,Corpay,US,Financials
CTVA,CTVA,Corteva,US,Materials
CSGP,CSGP,CoStar Group,US,Real Estate
COST,COST,Costco,US,Consumer Staples
CTRA,CTRA,Coterra,US,Energy
CRH,CRH,CRH plc,US,Materials
CRWD,CRWD,CrowdStrike,US,Information Technology
CCI,CCI,Crown Castle,US,Real Estate
CSX,CSX,CSX Corporation,US,Industrials
CMI,CMI,Cummins,US,Industrials
CVS,CVS,CVS Health,US,Health Care
DHR,DHR,Danaher Corporation,US,Health Care
DRI,DRI,Darden Restaurants,US,Consumer Discretionary
DDOG,DDOG,Datadog,US,Information Technology
DVA,DVA,DaVita,US,Health Care
DECK,DECK,Deckers Brands,US,Consumer Discretionary
DE,DE,Deere & Company,US,Industrials
DELL,DELL,Dell Technologies,US,Information Technology
DAL,DAL,Delta Air Lines,US,Industrials
DVN,DVN,Devon Energy,US,Energy
